Event,Station,index,EventID,Error,Pick,Network,Location,Channel,Latitude,Longitude,Distance,Origem Latitude,Origem Longitude,Depth/km,Pick Time,Origin Time,Start Time,End Time,Cat,MLv,Certainty,Path,Compo,Warning
20120520T193210,JAN7,124,usp2012jxhc,[],P,BR,,HHZ,-15.058097,-44.311197,175.9031558868767,-16.61113548,-43.9609108,0.0,2012-05-20T19:32:39.093200Z,2012-05-20T19:32:10.423255Z,2012-05-20T19:32:28.093200Z,2012-05-20T19:33:28.093200Z,earthquake,2.602437608,known,20120520T193210/BR_JAN7_20120520T193210.mseed,"['E', 'N', 'Z']",[]
20120520T193210,PMNB,123,usp2012jxhc,[],P,BL,,HHZ,-18.54,-46.44,338.8530466738104,-16.61113548,-43.9609108,0.0,2012-05-20T19:33:00.128051Z,2012-05-20T19:32:10.423255Z,2012-05-20T19:32:49.128051Z,2012-05-20T19:33:49.128051Z,earthquake,2.602437608,known,20120520T193210/BL_PMNB_20120520T193210.mseed,"['E', 'N', 'Z']",[]
20120520T193210,SJMB,122,usp2012jxhc,[],P,BL,,HHZ,-18.702916,-41.184694,374.64613570592337,-16.61113548,-43.9609108,0.0,2012-05-20T19:33:04.034835Z,2012-05-20T19:32:10.423255Z,2012-05-20T19:32:53.034835Z,2012-05-20T19:33:53.034835Z,earthquake,2.602437608,known,20120520T193210/BL_SJMB_20120520T193210.mseed,"['E', 'N', 'Z']",[]
20121003T045247,NBLI,78,usp2012tkqn,[],P,NB,,HHZ,-7.364556,-36.949743,125.71970872595578,-8.223321915,-36.20291901,0.0,2012-10-03T04:53:08.230648Z,2012-10-03T04:52:47.696524Z,2012-10-03T04:52:57.230648Z,2012-10-03T04:53:57.230648Z,earthquake,1.786019986,known,20121003T045247/NB_NBLI_20121003T045247.mseed,"['E', 'N', 'Z']",[]
20130304T122916,BSCB,58,usp2013ekfx,[],P,BL,,HHZ,-20.9984,-44.7635,283.40109081514606,-18.53904152,-45.51453018,0.0,2013-03-04T12:29:58.732604Z,2013-03-04T12:29:16.156417Z,2013-03-04T12:29:47.732604Z,2013-03-04T12:30:47.732604Z,earthquake,2.989014876,known,20130304T122916/BL_BSCB_20130304T122916.mseed,"['Z', 'N', 'E']",[]
20130304T122916,IPMB,57,usp2013ekfx,[],P,BR,,HHZ,-17.982956,-48.211734,291.7855844429491,-18.53904152,-45.51453018,0.0,2013-03-04T12:30:00.059783Z,2013-03-04T12:29:16.156417Z,2013-03-04T12:29:49.059783Z,2013-03-04T12:30:49.059783Z,earthquake,2.989014876,known,20130304T122916/BR_IPMB_20130304T122916.mseed,"['E', 'N', 'Z']",[]
20130304T122916,MCI6,61,usp2013ekfx,[],P,BL,,HHZ,-16.80705,-43.8933,257.54580563836595,-18.53904152,-45.51453018,0.0,2013-03-04T12:29:55.791290Z,2013-03-04T12:29:16.156417Z,2013-03-04T12:29:44.791290Z,2013-03-04T12:30:44.791290Z,earthquake,2.989014876,known,20130304T122916/BL_MCI6_20130304T122916.mseed,"['N', 'Z', 'E']",[' Sampling rate is 200.0']
20130304T122916,MCI8,59,usp2013ekfx,[],P,BL,,HHZ,-16.65967,-43.92041,268.1239655529116,-18.53904152,-45.51453018,0.0,2013-03-04T12:29:56.652160Z,2013-03-04T12:29:16.156417Z,2013-03-04T12:29:45.652160Z,2013-03-04T12:30:45.652160Z,earthquake,2.989014876,known,20130304T122916/BL_MCI8_20130304T122916.mseed,"['N', 'Z', 'E']",[' Sampling rate is 200.0']
20130304T122916,MCI9,60,usp2013ekfx,[],P,BL,,HHZ,-16.69806,-43.89328,266.6789523004077,-18.53904152,-45.51453018,0.0,2013-03-04T12:29:56.580413Z,2013-03-04T12:29:16.156417Z,2013-03-04T12:29:45.580413Z,2013-03-04T12:30:45.580413Z,earthquake,2.989014876,known,20130304T122916/BL_MCI9_20130304T122916.mseed,"['N', 'Z', 'E']",[' Sampling rate is 200.0']
20140429T163032,BOAV,160,usp2014iiwa,[],P,BR,,HHZ,2.3953,-60.5225,27.979321948405698,2.6342,-60.6054,0.0,2014-04-29T16:30:34.324743Z,2014-04-29T16:30:32.000000Z,2014-04-29T16:30:23.324743Z,2014-04-29T16:31:23.324743Z,earthquake,1.391774031,suspected,20140429T163032/BR_BOAV_20140429T163032.mseed,"['1', '2', 'Z']",[]
